id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
28;Lajeado;Juliano Faccioni;Tenis Fila;Derek Span;masculino;credito
29;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Victoria Duran;feminino;credito
30;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Virginia Feather;feminino;credito
31;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Mark Tucker;masculino;credito
32;Lajeado;Juliano Faccioni;Tenis NB;John Jackson;masculino;credito
33;São Paulo;Claudio Bueno;Tenis Fila;Russell West;masculino;credito
34;Canoas;Luis Fernando;Tenis NB;Maria Sims;feminino;credito
35;Canoas;Luis Fernando;Tenis Nike;Janet Bolger;feminino;pix
36;São Paulo;Claudio Bueno;Tenis Adidas;William Wilson;masculino;credito
37;Florianópolis;Mario Sérgio;Tenis Adidas;Jerry Phillips;masculino;credito
38;Lajeado;Juliano Faccioni;Tenis NB;Erin Helmick;feminino;credito
39;São Paulo;Claudio Bueno;Tenis Adidas;Karen Griffin;feminino;credito
40;Lajeado;Juliano Faccioni;Tenis Nike;Eric Cohen;masculino;credito
41;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Phyllis Turbacuski;feminino;boleto
42;São Paulo;Claudio Bueno;Tenis Adidas;Charles Krings;masculino;credito
43;Lajeado;Adriano Soares;Tenis NB;Victor Hayden;masculino;credito
44;Caxias do Sul;Mateus Kienzle;Tenis NB;Frances Alfonso;feminino;credito
45;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Ronald Wallach;masculino;boleto
46;Lajeado;Adriano Soares;Tenis Adidas;Edward Gaines;masculino;credito
47;Canoas;Carlos Henrique;Tenis Nike;Melinda May;feminino;credito
48;Lajeado;Juliano Faccioni;Tenis Nike;Joan Wilson;feminino;credito
49;São Paulo;Claudio Bueno;Tenis NB;Elsa Aggas;feminino;credito
50;Lajeado;Adriano Soares;Tenis Fila;Michelle Wagner;feminino;credito
51;Canoas;Carlos Henrique;Tenis Fila;Karen Lemley;feminino;pix
52;Florianópolis;Claudia dos Santos;Tenis Fila;Randy Weiland;masculino;credito
53;Porto Alegre;Rodrigo Tadewald;Tenis Fila;John Roache;masculino;credito
54;Canoas;Carlos Henrique;Tenis Fila;Martin Burke;masculino;credito
55;Florianópolis;Mario Sérgio;Tenis Fila;Paul Hines;masculino;credito
56;Florianópolis;Mario Sérgio;Tenis Fila;Carmen Rynn;feminino;credito
57;Porto Alegre;Luiza Cherobini;Tenis NB;Ann Compton;feminino;credito
58;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Lawrence Downs;masculino;credito
59;Porto Alegre;Luiza Cherobini;Tenis Fila;Carol Hinkle;feminino;credito
60;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Edward Wright;masculino;credito
61;São Paulo;Cassia Moraes;Tenis NB;Lois Salinas;feminino;credito
62;Canoas;Luis Fernando;Tenis Adidas;David Williams;masculino;credito
63;Porto Alegre;Luiza Cherobini;Tenis Adidas;Patricia Mong;feminino;credito
64;Lajeado;Adriano Soares;Tenis NB;Tabitha Lanasa;feminino;credito
65;Lajeado;Adriano Soares;Tenis NB;Robert Martir;masculino;credito
66;Florianópolis;Mario Sérgio;Tenis Fila;Mitchell Howe;masculino;credito
67;Porto Alegre;Luiza Cherobini;Tenis NB;Willie Kelly;masculino;credito
68;São Paulo;Claudio Bueno;Tenis NB;Clarence Nicholson;masculino;credito
69;Canoas;Luis Fernando;Tenis Adidas;Gwendolyn Carbonaro;feminino;credito
70;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Tracey Barrett;masculino;credito
71;Florianópolis;Claudia dos Santos;Tenis Nike;Bryan Ogrodowicz;masculino;pix
72;Porto Alegre;Luiza Cherobini;Tenis NB;Jill Squire;feminino;credito
73;Porto Alegre;Luiza Cherobini;Tenis Nike;Sam Nordstrom;masculino;credito
74;Porto Alegre;Luiza Cherobini;Tenis Adidas;Randall Johnson;masculino;credito
75;São Paulo;Claudio Bueno;Tenis Adidas;Suzanne Rico;feminino;credito
76;Canoas;Carlos Henrique;Tenis Nike;Regenia Nedd;feminino;credito
77;São Paulo;Claudio Bueno;Tenis Fila;Walter Hamlin;masculino;boleto
78;Caxias do Sul;Mateus Kienzle;Tenis Fila;Jane Street;feminino;credito
79;Florianópolis;Claudia dos Santos;Tenis Fila;Ashley Auten;feminino;credito
80;Florianópolis;Claudia dos Santos;Tenis Nike;John Smith;masculino;credito
81;São Paulo;Cassia Moraes;Tenis Fila;Debra White;feminino;credito
82;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Edith Corso;feminino;pix
83;Florianópolis;Claudia dos Santos;Tenis NB;Roger Jaquet;masculino;boleto
84;Lajeado;Juliano Faccioni;Tenis NB;James Martz;masculino;credito
85;Canoas;Luis Fernando;Tenis Nike;Mary Warren;feminino;pix
86;Florianópolis;Mario Sérgio;Tenis Adidas;Rafael Garvin;masculino;credito
87;Caxias do Sul;Mateus Kienzle;Tenis Fila;Scott Edwards;masculino;credito
88;Lajeado;Juliano Faccioni;Tenis Adidas;Kyle Kahl;masculino;boleto
89;Canoas;Luis Fernando;Tenis Fila;Elaine Jones;feminino;credito
90;Porto Alegre;Luiza Cherobini;Tenis Nike;Denise Schroeder;feminino;credito
91;São Paulo;Cassia Moraes;Tenis Adidas;Sheila Rieves;feminino;credito
92;Porto Alegre;Luiza Cherobini;Tenis Adidas;Seymour Johnson;masculino;credito
93;Lajeado;Juliano Faccioni;Tenis Adidas;Pedro Williams;masculino;credito
94;Florianópolis;Claudia dos Santos;Tenis Nike;Joseph Johnson;masculino;credito
95;Caxias do Sul;Mateus Kienzle;Tenis NB;Paul Perry;masculino;credito
96;Canoas;Luis Fernando;Tenis Adidas;Theresa Bass;feminino;credito
97;Florianópolis;Claudia dos Santos;Tenis Fila;Phillip Nicewander;masculino;credito
98;Florianópolis;Mario Sérgio;Tenis NB;Helen Thomas;feminino;credito
99;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Christopher Williams;masculino;credito
100;São Paulo;Claudio Bueno;Tenis NB;Steven Philpot;masculino;credito
101;Canoas;Luis Fernando;Tenis Adidas;Francis Ferreira;feminino;boleto
102;Florianópolis;Mario Sérgio;Tenis Adidas;John Holmes;masculino;credito
103;Canoas;Carlos Henrique;Tenis NB;Andrea Lewis;feminino;credito
104;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Carlos Leppert;masculino;credito
105;Florianópolis;Claudia dos Santos;Tenis NB;Catherine Bauer;feminino;pix
106;São Paulo;Cassia Moraes;Tenis Nike;Robert William;masculino;credito
107;São Paulo;Claudio Bueno;Tenis NB;Andrea Middendorf;feminino;credito
108;São Paulo;Cassia Moraes;Tenis Adidas;Michael Pierson;masculino;credito
109;Porto Alegre;Luiza Cherobini;Tenis Adidas;Catherine York;feminino;pix
110;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Richard Lokke;masculino;credito
111;Canoas;Luis Fernando;Tenis Nike;Lawrence Smith;masculino;credito
112;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Kay Merritt;feminino;credito
113;Lajeado;Adriano Soares;Tenis NB;Maxine Corbett;feminino;credito
114;Lajeado;Juliano Faccioni;Tenis NB;William Smith;masculino;credito
115;Canoas;Carlos Henrique;Tenis Adidas;Julia Bennett;feminino;boleto
116;Canoas;Luis Fernando;Tenis Nike;Samuel Graham;masculino;credito
117;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Kerry Nash;feminino;pix
118;Canoas;Carlos Henrique;Tenis Adidas;Patricia Hong;feminino;credito
119;Florianópolis;Claudia dos Santos;Tenis NB;Judy Smith;feminino;credito
120;Canoas;Luis Fernando;Tenis Adidas;Jean Freeman;feminino;credito
121;Lajeado;Adriano Soares;Tenis Nike;Howard Riggle;masculino;credito
122;Caxias do Sul;Mateus Kienzle;Tenis NB;Johnny Taylor;masculino;credito
123;São Paulo;Claudio Bueno;Tenis NB;Kristen Lucas;feminino;credito
124;São Paulo;Cassia Moraes;Tenis Fila;Karen Petrie;feminino;pix
125;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Wendell Hays;masculino;credito
126;Canoas;Luis Fernando;Tenis Fila;Daniel Almazan;masculino;credito
127;Florianópolis;Mario Sérgio;Tenis NB;Barbara Spaniel;feminino;credito
128;Lajeado;Adriano Soares;Tenis Adidas;Tyler William;masculino;pix
129;Canoas;Luis Fernando;Tenis NB;Jose Barton;masculino;credito
130;Lajeado;Juliano Faccioni;Tenis NB;Elizabeth Cunningham;feminino;pix
131;Florianópolis;Claudia dos Santos;Tenis Fila;Pearl Graves;feminino;credito
132;Canoas;Luis Fernando;Tenis Adidas;James Crooms;masculino;credito
133;Porto Alegre;Luiza Cherobini;Tenis Adidas;Joyce Nord;feminino;credito
134;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Maria Ware;feminino;credito
135;Canoas;Luis Fernando;Tenis Nike;James Gelston;masculino;pix
136;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Timothy Veronesi;masculino;credito
137;Porto Alegre;Rodrigo Tadewald;Tenis NB;Elizabeth Cuozzo;feminino;credito
138;Florianópolis;Mario Sérgio;Tenis NB;Charles Gaudino;masculino;boleto
139;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Ramon Bermudez;masculino;boleto
140;São Paulo;Cassia Moraes;Tenis Fila;Rita Neil;feminino;credito
141;Canoas;Luis Fernando;Tenis Adidas;Benny Buck;masculino;credito
142;São Paulo;Cassia Moraes;Tenis Fila;Marsha Harris;feminino;pix
143;Porto Alegre;Luiza Cherobini;Tenis Fila;Clara Estrada;feminino;credito
144;São Paulo;Claudio Bueno;Tenis NB;Lisa Mcvay;feminino;pix
145;Lajeado;Juliano Faccioni;Tenis Nike;Ruth Olvera;feminino;credito
146;São Paulo;Claudio Bueno;Tenis NB;Albert Gonzalez;masculino;boleto
147;Canoas;Luis Fernando;Tenis Fila;Kathy Yeend;feminino;credito
148;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Brian Ferguson;masculino;credito
149;São Paulo;Claudio Bueno;Tenis Nike;Jessica Davidson;feminino;credito
150;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Andrew Waddle;masculino;credito
151;Canoas;Carlos Henrique;Tenis NB;Jamal Leatherman;masculino;credito
152;Porto Alegre;Rodrigo Tadewald;Tenis NB;Thomas Tunson;masculino;credito
153;Caxias do Sul;Mateus Kienzle;Tenis Fila;Lawrence Reyes;masculino;credito
154;Caxias do Sul;Mateus Kienzle;Tenis Fila;Joshua Stoneback;masculino;credito
155;Porto Alegre;Luiza Cherobini;Tenis Adidas;Natasha Velasco;feminino;credito
156;Canoas;Carlos Henrique;Tenis Nike;Scott Walker;masculino;credito
157;Canoas;Luis Fernando;Tenis Fila;Marlyn Hodgdon;feminino;credito
158;Florianópolis;Mario Sérgio;Tenis NB;Guillermo Cavett;masculino;credito
159;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Sean Kumar;masculino;credito
160;Porto Alegre;Luiza Cherobini;Tenis Adidas;Carol Castellano;feminino;credito
161;Canoas;Carlos Henrique;Tenis Nike;Mildred Fairman;feminino;credito
162;São Paulo;Cassia Moraes;Tenis Fila;Kimberly Stephens;feminino;credito
163;Florianópolis;Claudia dos Santos;Tenis NB;Helen Weinstein;feminino;credito
164;Canoas;Carlos Henrique;Tenis NB;Louis Rollins;masculino;pix
165;Lajeado;Juliano Faccioni;Tenis Adidas;David Hickman;masculino;credito
166;Florianópolis;Mario Sérgio;Tenis Nike;Amy Kemp;feminino;credito
167;São Paulo;Claudio Bueno;Tenis Fila;Tommy Robinson;masculino;credito
168;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Susan Loera;feminino;boleto
169;São Paulo;Claudio Bueno;Tenis NB;Laura Hilton;feminino;credito
170;Porto Alegre;Luiza Cherobini;Tenis Nike;Eddie West;masculino;credito
171;Porto Alegre;Luiza Cherobini;Tenis Adidas;Tina Blankenbaker;feminino;credito
172;Lajeado;Adriano Soares;Tenis Fila;Jose Black;masculino;credito
173;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Linda Robards;feminino;credito
174;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Kenneth Bernard;masculino;credito
175;Porto Alegre;Luiza Cherobini;Tenis NB;Janet Bruster;feminino;credito
176;São Paulo;Claudio Bueno;Tenis Adidas;Elizabeth Wood;feminino;credito
177;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Elissa Jones;feminino;credito
178;Porto Alegre;Luiza Cherobini;Tenis Fila;Patricia Clewis;feminino;credito
179;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Mavis Mcbride;feminino;credito
180;Porto Alegre;Luiza Cherobini;Tenis Adidas;Brenda Bush;feminino;credito
181;Lajeado;Adriano Soares;Tenis Nike;Melvin Cannon;masculino;credito
182;Porto Alegre;Rodrigo Tadewald;Tenis Nike;Joyce Sperry;feminino;boleto
183;São Paulo;Claudio Bueno;Tenis Nike;Samantha Henderson;feminino;credito
184;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Stephanie Hill;feminino;credito
185;São Paulo;Cassia Moraes;Tenis NB;Julius Mcgowan;masculino;boleto
186;Florianópolis;Claudia dos Santos;Tenis Fila;Rosa Smith;feminino;credito
187;São Paulo;Claudio Bueno;Tenis Fila;James Patton;masculino;pix
188;Canoas;Carlos Henrique;Tenis Fila;Bryan Boone;masculino;credito
189;São Paulo;Claudio Bueno;Tenis Fila;Charlotte Mcguffey;feminino;pix
190;Florianópolis;Claudia dos Santos;Tenis Nike;Heather Hernandez;feminino;credito
191;Caxias do Sul;Mateus Kienzle;Tenis Nike;Randy Nalley;masculino;credito
192;São Paulo;Cassia Moraes;Tenis Adidas;Jeanne Hodges;feminino;credito
193;Lajeado;Adriano Soares;Tenis NB;Marsha Wene;feminino;pix
194;Florianópolis;Claudia dos Santos;Tenis Fila;Michael Paul;masculino;credito
195;Canoas;Carlos Henrique;Tenis Fila;Glenn Jenkins;masculino;credito
196;Porto Alegre;Luiza Cherobini;Tenis Fila;Kelly Spies;feminino;credito
197;Canoas;Luis Fernando;Tenis Adidas;John John;masculino;pix
198;Caxias do Sul;Mateus Kienzle;Tenis NB;James Mulhern;masculino;credito
199;Porto Alegre;Luiza Cherobini;Tenis Nike;Beth Granger;feminino;pix
200;Porto Alegre;Rodrigo Tadewald;Tenis NB;Kirk Pope;masculino;credito
201;Caxias do Sul;Mateus Kienzle;Tenis Fila;Martha Mercer;feminino;credito
202;Canoas;Luis Fernando;Tenis Nike;Karen Plack;feminino;credito
203;Lajeado;Juliano Faccioni;Tenis Nike;Michael Klein;masculino;credito
204;Canoas;Carlos Henrique;Tenis Nike;Leonel Lewison;masculino;credito
205;Florianópolis;Claudia dos Santos;Tenis Fila;Deann Johnson;feminino;pix
206;Florianópolis;Mario Sérgio;Tenis NB;Leo Cave;masculino;credito
207;Florianópolis;Mario Sérgio;Tenis Nike;John Gregory;masculino;credito
208;Canoas;Luis Fernando;Tenis Adidas;Sheldon Johnson;masculino;credito
209;Lajeado;Juliano Faccioni;Tenis Adidas;Charlie Boyett;masculino;credito
210;Lajeado;Juliano Faccioni;Tenis Nike;Scottie Christiansen;masculino;pix
211;Canoas;Luis Fernando;Tenis Adidas;Steven Barnes;masculino;credito
212;Canoas;Carlos Henrique;Tenis Adidas;Herman Mcwilliams;masculino;credito
213;Porto Alegre;Luiza Cherobini;Tenis Nike;Shelton Buckles;masculino;credito
214;Caxias do Sul;Mateus Kienzle;Tenis Nike;Kathy Sturm;feminino;pix
215;Canoas;Carlos Henrique;Tenis Adidas;Jennifer Keatts;feminino;credito
216;Caxias do Sul;Mateus Kienzle;Tenis Fila;Lawrence Aiello;masculino;credito
217;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Arthur Dixon;masculino;boleto
218;Lajeado;Juliano Faccioni;Tenis NB;Cecelia Gasper;feminino;boleto
219;Florianópolis;Claudia dos Santos;Tenis Nike;Andrea Webb;feminino;credito
220;Florianópolis;Claudia dos Santos;Tenis Nike;April Baker;feminino;credito
221;Porto Alegre;Luiza Cherobini;Tenis Nike;Donna Becker;feminino;pix
222;Porto Alegre;Luiza Cherobini;Tenis Nike;William Smith;masculino;credito
223;Florianópolis;Mario Sérgio;Tenis Adidas;Arlene Wolter;feminino;pix
224;Lajeado;Adriano Soares;Tenis Nike;Clarissa Wyrick;feminino;credito
225;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Stanley Miller;masculino;boleto
226;Canoas;Carlos Henrique;Tenis Adidas;Irene Galloway;feminino;credito
227;Canoas;Luis Fernando;Tenis Fila;Elizabeth Rowell;feminino;credito
228;Porto Alegre;Rodrigo Tadewald;Tenis NB;Janis Johnson;feminino;pix
229;Florianópolis;Mario Sérgio;Tenis Adidas;Gwendolyn Fuller;feminino;credito
230;Florianópolis;Mario Sérgio;Tenis Nike;John Smith;masculino;credito
231;Florianópolis;Claudia dos Santos;Tenis Fila;Daniel Sullivan;masculino;credito
232;São Paulo;Cassia Moraes;Tenis Nike;Guy Stephens;masculino;credito
233;São Paulo;Cassia Moraes;Tenis Nike;Stella Hicks;feminino;credito
234;Canoas;Carlos Henrique;Tenis Adidas;Samuel Vanwoert;masculino;credito
235;Lajeado;Adriano Soares;Tenis NB;Margaret Barnes;feminino;credito
236;Porto Alegre;Luiza Cherobini;Tenis Adidas;Colleen Newsome;feminino;credito
237;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Jessica Kelley;feminino;credito
238;São Paulo;Cassia Moraes;Tenis Adidas;Grace Fowler;feminino;credito
239;Lajeado;Juliano Faccioni;Tenis NB;Melinda Boucher;feminino;credito
240;Florianópolis;Mario Sérgio;Tenis Fila;John Rankin;masculino;credito
241;Porto Alegre;Rodrigo Tadewald;Tenis NB;John Lee;masculino;credito
242;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Cyril Wilson;masculino;credito
243;Florianópolis;Claudia dos Santos;Tenis Nike;Lucille Merten;feminino;credito
244;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Carla Mann;feminino;credito
245;Canoas;Carlos Henrique;Tenis Nike;Carla Harris;feminino;pix
246;Porto Alegre;Luiza Cherobini;Tenis Nike;Judy Bunch;feminino;credito
247;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Lizzie Baker;feminino;credito
248;Canoas;Luis Fernando;Tenis Adidas;Mark Thacker;masculino;credito
249;Florianópolis;Claudia dos Santos;Tenis Fila;Ezra Donovan;masculino;boleto
250;Florianópolis;Mario Sérgio;Tenis Fila;Dennis Herrera;masculino;credito
251;Canoas;Carlos Henrique;Tenis Adidas;Wendy Wilcox;feminino;credito
252;Lajeado;Adriano Soares;Tenis Nike;Natalia Smith;feminino;credito
253;Florianópolis;Mario Sérgio;Tenis NB;Kelvin Delossantos;masculino;credito
254;Canoas;Carlos Henrique;Tenis Adidas;Gary Zajc;masculino;credito
255;Porto Alegre;Rodrigo Tadewald;Tenis Adidas;Cody Anthony;masculino;boleto
256;São Paulo;Claudio Bueno;Tenis Nike;Cora Britt;feminino;credito
257;São Paulo;Claudio Bueno;Tenis Nike;Elouise Flaherty;feminino;credito
258;Florianópolis;Claudia dos Santos;Tenis Adidas;Miriam Glennon;feminino;boleto
259;Porto Alegre;Luiza Cherobini;Tenis NB;Cordelia Weaver;feminino;boleto
260;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Felicia Tiede;feminino;credito
261;Caxias do Sul;Mateus Kienzle;Tenis Fila;Irene Shockey;feminino;pix
262;Canoas;Carlos Henrique;Tenis Adidas;Glenda Ross;feminino;credito
263;Canoas;Carlos Henrique;Tenis Adidas;Gerald Warren;masculino;credito
264;Florianópolis;Claudia dos Santos;Tenis Adidas;Robert Mcqueen;masculino;boleto
265;São Paulo;Cassia Moraes;Tenis Fila;Hector Cruz;masculino;credito
266;Canoas;Luis Fernando;Tenis Fila;John Roderick;masculino;credito
267;Florianópolis;Claudia dos Santos;Tenis NB;Thomas Burkett;masculino;credito
268;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Dave Pescatore;masculino;credito
269;Canoas;Luis Fernando;Tenis Fila;Rebecca Rodgers;feminino;credito
270;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Kim Green;feminino;credito
271;São Paulo;Cassia Moraes;Tenis Fila;Noel Mccarter;masculino;credito
272;Canoas;Carlos Henrique;Tenis NB;Victoria Hamlin;feminino;credito
273;Canoas;Luis Fernando;Tenis Fila;Ann Goldizen;feminino;credito
274;Caxias do Sul;Mateus Kienzle;Tenis Fila;Charles Jennings;feminino;credito
275;São Paulo;Cassia Moraes;Tenis Nike;Debbi Stitt;feminino;credito
276;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Carlos Guel;masculino;credito
277;Canoas;Luis Fernando;Tenis NB;David Walker;masculino;credito
278;Lajeado;Adriano Soares;Tenis Adidas;Henrietta Phillips;feminino;pix
279;Lajeado;Adriano Soares;Tenis NB;Steven Nix;masculino;pix
280;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Tammy Thomas;feminino;credito
281;Lajeado;Adriano Soares;Tenis Nike;Kelly Kindle;feminino;credito
282;São Paulo;Cassia Moraes;Tenis Adidas;Kelly Pettit;feminino;credito
283;São Paulo;Claudio Bueno;Tenis Fila;Samuel Gray;masculino;credito
284;Canoas;Luis Fernando;Tenis Nike;Yolanda Earley;feminino;credito
285;Canoas;Carlos Henrique;Tenis Fila;Anthony Casey;masculino;boleto
286;Canoas;Carlos Henrique;Tenis Nike;Scott Herring;masculino;pix
287;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Cheryl Voelker;feminino;pix
288;São Paulo;Cassia Moraes;Tenis Nike;Judith Hernandez;feminino;pix
289;Lajeado;Adriano Soares;Tenis NB;Shirley Adame;feminino;credito
290;Lajeado;Adriano Soares;Tenis Adidas;Slyvia Park;feminino;credito
291;Caxias do Sul;Mateus Kienzle;Tenis NB;Kim Lawrence;feminino;credito
292;Florianópolis;Mario Sérgio;Tenis NB;Dulce Welsh;feminino;credito
293;Porto Alegre;Luiza Cherobini;Tenis Adidas;Belen Urbina;feminino;credito
294;Porto Alegre;Luiza Cherobini;Tenis Fila;Eva Zimmer;feminino;boleto
295;São Paulo;Cassia Moraes;Tenis Nike;Frank Edmunds;masculino;credito
296;Porto Alegre;Rodrigo Tadewald;Tenis NB;Sean Camacho;masculino;credito
297;Canoas;Luis Fernando;Tenis Nike;Billy Clark;masculino;pix
298;Canoas;Carlos Henrique;Tenis NB;Steven Mendoza;masculino;credito
299;São Paulo;Claudio Bueno;Tenis NB;Heather Young;feminino;credito
300;Florianópolis;Claudia dos Santos;Tenis NB;John Rice;masculino;credito
301;Porto Alegre;Luiza Cherobini;Tenis Adidas;Michael Large;masculino;pix
302;São Paulo;Cassia Moraes;Tenis NB;Will Mattox;masculino;credito
303;Lajeado;Juliano Faccioni;Tenis Adidas;Jesse Jones;masculino;credito
304;São Paulo;Cassia Moraes;Tenis Fila;Dawn Kiffer;feminino;pix
305;Caxias do Sul;Mateus Kienzle;Tenis Fila;Douglas Jones;masculino;boleto
306;Caxias do Sul;Mateus Kienzle;Tenis Nike;Jeffrey Herman;masculino;credito
307;Canoas;Luis Fernando;Tenis Nike;Nina Quinnie;feminino;credito
308;Lajeado;Juliano Faccioni;Tenis Adidas;Billy Sheppard;feminino;credito
309;Florianópolis;Mario Sérgio;Tenis Fila;Julie Testa;feminino;credito
310;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Donald Dipaola;masculino;credito
311;Caxias do Sul;Mateus Kienzle;Tenis Nike;Donald Droke;masculino;credito
312;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Angela Enstrom;feminino;credito
313;Lajeado;Adriano Soares;Tenis Adidas;Tracy Stanback;feminino;credito
314;Florianópolis;Claudia dos Santos;Tenis Adidas;Matthew Jauregui;masculino;pix
315;Caxias do Sul;Mateus Kienzle;Tenis Adidas;Amy Breaux;feminino;credito
316;São Paulo;Claudio Bueno;Tenis NB;Marty Ditman;feminino;credito
317;Lajeado;Juliano Faccioni;Tenis Adidas;Kevin Wait;masculino;credito
318;São Paulo;Claudio Bueno;Tenis NB;Bruce Timmins;masculino;credito
319;Canoas;Carlos Henrique;Tenis Fila;Ryan Clark;masculino;pix
320;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Elma Fleeman;feminino;credito
321;Caxias do Sul;Mateus Kienzle;Tenis Nike;Rosa Galindo;feminino;credito
322;Lajeado;Juliano Faccioni;Tenis Adidas;Shirley Mcniel;feminino;boleto
323;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Renee Ziegler;feminino;credito
324;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Edward Hamilton;masculino;credito
325;São Paulo;Cassia Moraes;Tenis NB;Sarah Sheperd;feminino;credito
326;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Marshall Schneeman;masculino;credito
327;Porto Alegre;Luiza Cherobini;Tenis Nike;Chris Obrien;masculino;credito
328;Florianópolis;Mario Sérgio;Tenis NB;Devin Wattles;masculino;credito
329;Canoas;Carlos Henrique;Tenis NB;Natalie Dickens;feminino;credito
